Name,Date,Location,Type,Region,Weather
A Man and His Music,9/26/2024,The Royal Room,Music,South Seattle,"A chance of rain after 5pm. Mostly sunny, with a high near 68. South wind 6 to 13 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Black Dogs,9/26/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain after 5pm. Mostly sunny, with a high near 68. South wind 6 to 12 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
BLK ODYSSY,9/26/2024,Barboza,Music,Capitol Hill / Central District,"A chance of rain after 5pm. Partly sunny, with a high near 67. South wind 6 to 13 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Dylan Gossett,9/26/2024,The Showbox,Music,Downtown,"A chance of rain after 5pm. Mostly sunny, with a high near 68. South wind 6 to 12 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
"Eva Walker and Jacob Uitti with Molly Sides, Jimmy James, Vitamin D, and Marco Collins",9/26/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain after 5pm. Mostly sunny, with a high near 68. South wind 6 to 13 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Glen Teriyaki,9/26/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain after 5pm. Mostly sunny, with a high near 69. South wind 6 to 12 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Marcos Valle,9/26/2024,The Neptune Theatre,Music,University District,"A chance of rain after 5pm. Mostly sunny, with a high near 68. South wind 6 to 12 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Rae Armantrout,9/26/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A chance of rain after 5pm. Mostly sunny, with a high near 68. South wind 6 to 13 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Silverada,9/26/2024,The Crocodile,Music,Downtown,"A chance of rain after 5pm. Partly sunny, with a high near 67. South wind 6 to 13 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Tyrone Wells,9/26/2024,The Triple Door,Music,Downtown,"A chance of rain after 5pm. Mostly sunny, with a high near 67. South wind 6 to 12 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
“All My Ancestors at a Dinner Party ” with Monyee Chau,9/27/2024,Raisbeck Performance Hall,Readings & Lectures,Downtown,"A chance of rain showers before 11am. Partly sunny. High near 66, with temperatures falling to around 64 in the afternoon. West southwest wind 6 to 12 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Crowdsource Choir,9/27/2024,Town Hall Seattle,Music,Downtown,"A chance of rain showers before 11am. Partly sunny. High near 66, with temperatures falling to around 64 in the afternoon. West southwest wind 6 to 12 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Dana and Alden,9/27/2024,Barboza,Music,Capitol Hill / Central District,"A chance of rain showers before 11am. Partly sunny. High near 66, with temperatures falling to around 64 in the afternoon. West southwest wind 6 to 12 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Danez Smith,9/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain showers before 11am. Partly sunny. High near 66, with temperatures falling to around 64 in the afternoon. West southwest wind 6 to 12 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Gioli and Assia,9/27/2024,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers before 11am. Partly sunny. High near 65, with temperatures falling to around 63 in the afternoon. West southwest wind 6 to 10 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Half Giraffe,9/27/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain showers before 11am. Partly sunny. High near 64, with temperatures falling to around 62 in the afternoon. Southwest wind 7 to 13 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
I’m Not Okay Featuring Emo Kids ( A Live Tribute to Emo),9/27/2024,High Dive,Music,Fremont / Ballard,"A slight chance of rain showers before 11am. Partly sunny. High near 67, with temperatures falling to around 65 in the afternoon. West northwest wind 6 to 12 mph. Chance of precipitation is 20%."
Joe Casalini Trio,9/27/2024,The Royal Room,Music,South Seattle,"A chance of rain showers before 11am. Partly sunny. High near 65, with temperatures falling to around 63 in the afternoon. West southwest wind 6 to 12 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Massy Ferguson Vinyl Release,9/27/2024,The Triple Door,Music,Downtown,"A chance of rain showers before 11am. Partly sunny. High near 65, with temperatures falling to around 63 in the afternoon. West southwest wind 6 to 12 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
slenderbodies,9/27/2024,The Showbox,Music,Downtown,"A slight chance of rain showers before 11am. Partly sunny. High near 67, with temperatures falling to around 65 in the afternoon. West northwest wind 6 to 12 mph. Chance of precipitation is 20%."
The Music of PJ Harvey,9/27/2024,The Royal Room,Music,South Seattle,"A chance of rain showers before 11am. Partly sunny. High near 66, with temperatures falling to around 64 in the afternoon. West southwest wind 6 to 10 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
