Name,Date,Location,Type,Region,Weather
Choir! Choir! Choir!,10/17/2024,The Neptune Theatre,Music,University District,"Rain showers likely before noon. Partly sunny, with a high near 55. North northwest wind 2 to 8 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
CHYL,10/17/2024,Barboza,Music,Capitol Hill / Central District,"Rain showers likely before noon. Partly sunny, with a high near 55. North northwest wind 2 to 9 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Clem Snide,10/17/2024,Tractor Tavern,Music,Fremont / Ballard,"Rain showers likely before noon. Partly sunny, with a high near 55. North northwest wind 2 to 8 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Elaina Ellis  and Amber Flame,10/17/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A chance of rain showers before noon. Partly sunny, with a high near 55. Northwest wind 2 to 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Jazz with Jim – Exceptional Big Bands,10/17/2024,Bainbridge Island Museum of Art,Music,West,"A chance of rain showers before noon. Partly sunny, with a high near 55. Northwest wind 2 to 9 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Rapsody,10/17/2024,The Crocodile,Music,Downtown,"Rain showers likely before noon. Partly sunny, with a high near 55. North northwest wind 2 to 8 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Sprints,10/17/2024,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers before 2pm. Partly sunny, with a high near 54. North northwest wind 2 to 10 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
SuperKnova,10/17/2024,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain showers before noon. Partly sunny, with a high near 55. Northwest wind 2 to 9 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Broadway Rave,10/18/2024,The Crocodile,Music,Downtown,"Rain. Cloudy, with a high near 54. South wind 9 to 14 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Chinese American Bear,10/18/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 53. South southwest wind 7 to 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Club XCX,10/18/2024,Nectar Lounge,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 56. South wind 7 to 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Fruition,10/18/2024,Tractor Tavern,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 56. South southwest wind 7 to 12 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Hinds,10/18/2024,The Crocodile,Music,Downtown,"Rain. Cloudy, with a high near 56. South southwest wind around 8 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Jon Macy,10/18/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Rain. Cloudy, with a high near 56. South wind 7 to 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Lady A,10/18/2024,Egan's Ballard Jam House,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 56. South southwest wind around 8 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
M.A.G.S.,10/18/2024,Barboza,Music,Capitol Hill / Central District,"Rain. Cloudy, with a high near 56. South southwest wind around 8 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Melt,10/18/2024,Neumos,Music,Capitol Hill / Central District,"Rain. Cloudy, with a high near 56. South wind around 8 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Pigs On The Wing,10/18/2024,The Neptune Theatre,Music,University District,"Rain. Cloudy, with a high near 55. South southwest wind 7 to 10 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
SAM Open House: Joyce J. Scott,10/18/2024,Seattle Art Museum,Museums,Downtown,"Rain. Cloudy, with a high near 56. South wind around 8 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Seattle Reign FC vs. Houston Dash,10/18/2024,Lumen Field,Sports,Pioneer Square,"Rain. Cloudy, with a high near 55. South southwest wind 5 to 8 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Bowling For Soup,10/19/2024,The Showbox,Music,Downtown,"Rain. Cloudy, with a high near 64. South southwest wind around 13 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Caudal Peduncle,10/19/2024,Slim's Last Chance,Music,South Seattle,"Rain. Cloudy, with a high near 62. South southwest wind 8 to 14 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Dia de Muertos,10/19/2024,Benaroya Hall,Music,Downtown,"Rain. Cloudy, with a high near 60. South southwest wind 7 to 14 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Eldridge Gravy and The Court Supreme,10/19/2024,Nectar Lounge,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 60. South wind 5 to 16 mph, with gusts as high as 21 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Mr. Gnome,10/19/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 62. South southwest wind 8 to 14 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Nilüfer Yanya,10/19/2024,The Crocodile,Music,Downtown,"Rain. Cloudy, with a high near 63. South southwest wind around 12 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Sounders FC vs. Portland Timbers,10/19/2024,Lumen Field,Sports,Pioneer Square,"Rain. Cloudy, with a high near 64. South wind 6 to 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Wale,10/19/2024,The Neptune Theatre,Music,University District,"Rain. Cloudy, with a high near 62. South southwest wind 8 to 14 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Croce Plays Croce – 50th Anniversary Tour,10/20/2024,The Moore Theatre,Music,Downtown,"Rain. Cloudy, with a high near 59. Chance of precipitation is 100%."
Diggy Graves,10/20/2024,The Crocodile,Music,Downtown,"Rain. Cloudy, with a high near 60. Chance of precipitation is 100%."
Gaelic Storm,10/20/2024,The Neptune Theatre,Music,University District,"Rain. Cloudy, with a high near 58. Chance of precipitation is 100%."
Michigander,10/20/2024,Tractor Tavern,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 59. Chance of precipitation is 100%."
Sasha Alex Sloan,10/20/2024,Neumos,Music,Capitol Hill / Central District,"Rain. Cloudy, with a high near 57. Chance of precipitation is 100%."
One Big Happy Charity Concert,10/21/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain likely. Mostly cloudy, with a high near 53."
Chuck Prophet and Cumbia Shoes,10/22/2024,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 51."
Dream Patrol,10/22/2024,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 53."
Snow Strippers,10/22/2024,Neumos,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 52."
Strictly Ballroom – Melodies in Motion,10/22/2024,Bainbridge Island Museum of Art,Museums,West,"Mostly sunny, with a high near 53."
Ashley Cooke,10/23/2024,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 52."
Fake Fruit,10/23/2024,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 53."
Laser Pop Punk Night,10/23/2024,Pacific Science Center,Museums,Queen Anne / Seattle Center,"Mostly sunny, with a high near 54."
