Name,Date,Location,Type,Region,Weather
Brother Ali and Ant,11/14/2024,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers. Cloudy, with a low around 49. South southwest wind around 10 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Dead Spells,11/14/2024,Funhouse,Music,Capitol Hill / Central District,"A chance of rain showers. Cloudy, with a low around 49. South southwest wind around 10 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
From Me to We,11/14/2024,Town Hall Seattle,Festivals & Special Events,Downtown,"A chance of rain showers. Cloudy, with a low around 49. South wind around 13 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Law Rocks,11/14/2024,The Crocodile,Music,Downtown,"A chance of rain showers. Cloudy. Low around 48, with temperatures rising to around 50 overnight. South wind around 14 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Roots of Change: The History and Impact of Plant Immigration and Human-Flora Interactions in Iceland,11/14/2024,National Nordic Museum,Festivals & Special Events,Fremont / Ballard,"A chance of rain showers. Cloudy, with a low around 50. South wind around 20 mph, with gusts as high as 26 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
SAM Talks: Bethany Collins,11/14/2024,Seattle Art Museum,Museums,Downtown,"A chance of rain showers. Cloudy, with a low around 48. South wind around 12 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Spyglass Album Release Show,11/14/2024,High Dive,Music,Fremont / Ballard,"A chance of rain showers. Cloudy, with a low around 50. South wind around 20 mph, with gusts as high as 26 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Tom Paxton and The DonJuans,11/14/2024,The Triple Door,Music,Downtown,"A chance of rain showers. Cloudy, with a low around 48. South wind around 9 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Wild Child and Susto,11/14/2024,The Neptune Theatre,Music,University District,"A chance of rain showers. Cloudy, with a low around 49. South southwest wind around 10 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Amorina Kingdon,11/15/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain showers before 7am, then a chance of rain showers and patchy fog between 7am and 8am, then patchy fog and a slight chance of rain showers between 8am and 9am, then a chance of rain showers and patchy fog. Partly sunny, with a high near 47. South southwest wind around 3 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Andre Nickatina,11/15/2024,Nectar Lounge,Music,Fremont / Ballard,"A chance of rain showers. Partly sunny, with a high near 48. South southwest wind around 3 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Bar Stool Preachers,11/15/2024,Funhouse,Music,Capitol Hill / Central District,"A chance of rain showers before 7am, then a chance of rain showers and patchy fog between 7am and 8am, then patchy fog and a slight chance of rain showers between 8am and 9am, then a chance of rain showers and patchy fog. Partly sunny, with a high near 48. South southwest wind around 3 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Ben Sollee,11/15/2024,Fremont Abbey Arts Center,Music,Fremont / Ballard,"A chance of rain showers before 4pm. Partly sunny, with a high near 49. South southwest wind around 3 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Brazilian Forro with Foleada,11/15/2024,The Royal Room,Music,South Seattle,"A chance of rain showers before 7am, then a chance of rain showers and patchy fog between 7am and 8am, then patchy fog and a slight chance of rain showers between 8am and 9am, then a chance of rain showers and patchy fog. Partly sunny, with a high near 49. South southwest wind around 3 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Duster,11/15/2024,The Neptune Theatre,Music,University District,"A chance of rain showers. Partly sunny, with a high near 48. South southwest wind around 3 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Frank Buxton Silent Film Festival: The Docks of New York,11/15/2024,Bainbridge Island Museum of Art,Museums,West,"A chance of rain showers. Partly sunny, with a high near 48. South southwest wind around 3 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Frank Buxton Silent Film Festival: The Lodger,11/15/2024,Bainbridge Island Museum of Art,Museums,West,"A chance of rain showers. Partly sunny, with a high near 48. South southwest wind around 3 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Hayden James,11/15/2024,Showbox SoDo,Music,Pioneer Square,"A chance of rain showers. Partly sunny, with a high near 47. South southwest wind around 5 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Kate Dinsmore,11/15/2024,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain showers before 7am, then a chance of rain showers and patchy fog between 7am and 8am, then patchy fog and a slight chance of rain showers between 8am and 9am, then a chance of rain showers and patchy fog. Partly sunny, with a high near 47. South southwest wind around 3 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
KingDow,11/15/2024,High Dive,Music,Fremont / Ballard,"A chance of rain showers. Partly sunny, with a high near 48. South southwest wind around 3 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Mahler Untuxed,11/15/2024,Benaroya Hall,Music,Downtown,"A chance of rain showers. Partly sunny, with a high near 48. South southwest wind around 3 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Shallou,11/15/2024,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers. Partly sunny, with a high near 48. South southwest wind around 3 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
STAR n The Knight,11/15/2024,The Triple Door,Music,Downtown,"A chance of rain showers before 7am, then a chance of rain showers and patchy fog. Partly sunny, with a high near 48. South southwest wind around 3 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
The Graceland Five,11/15/2024,Slim's Last Chance,Music,South Seattle,"A chance of rain showers. Partly sunny, with a high near 48. South southwest wind around 3 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Bear Hands,11/16/2024,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers before 10am, then rain. Cloudy, with a high near 46. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Big Fun,11/16/2024,Funhouse,Music,Capitol Hill / Central District,"A chance of rain showers before 10am, then rain. Cloudy, with a high near 47. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Frank Buxton Silent Film Festival: Buster Keaton Films,11/16/2024,Bainbridge Island Museum of Art,Museums,West,"A chance of rain showers before 10am, then rain. Cloudy, with a high near 47. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Frank Buxton Silent Film Festival: Comedy Shorts,11/16/2024,Bainbridge Island Museum of Art,Museums,West,"A chance of rain showers before 10am, then rain. Cloudy, with a high near 47. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
