Name,Date,Location,Type,Region,Weather
Camera,3/9/2025,Benaroya Hall,Music,Downtown,"Rain after 11am. Cloudy. High near 54, with temperatures falling to around 48 in the afternoon. South southwest wind 9 to 16 mph, with gusts as high as 32 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Echoes of the East,3/9/2025,Town Hall Seattle,Music,Downtown,"Rain after 11am. Cloudy. High near 54, with temperatures falling to around 49 in the afternoon. South southwest wind 9 to 16 mph, with gusts as high as 32 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Jerry Cantrell,3/9/2025,The Moore Theatre,Music,Downtown,"Rain after 11am. Cloudy. High near 53, with temperatures falling to around 48 in the afternoon. South southwest wind 8 to 16 mph, with gusts as high as 32 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Randy Blythe,3/9/2025,El Corazon,Readings & Lectures,Downtown,"Rain after 11am. Cloudy. High near 53, with temperatures falling to around 48 in the afternoon. South southwest wind 8 to 16 mph, with gusts as high as 33 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Swallow the Sun,3/10/2025,El Corazon,Music,Downtown,"Rain showers likely. Mostly cloudy, with a high near 50. South wind around 6 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
Waking The Ancients,3/10/2025,Funhouse,Music,Capitol Hill / Central District,"Rain showers likely. Mostly cloudy, with a high near 50. South wind around 6 mph. Chance of precipitation is 60%. New rainfall amounts less than a tenth of an inch possible."
A Conversation with Natasha Lyonne,3/11/2025,Benaroya Hall,Readings & Lectures,Downtown,"A chance of rain showers before 11am, then rain. Cloudy, with a high near 49. South wind around 6 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Alice Rothchild,3/11/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A chance of rain showers before 11am, then rain. Cloudy, with a high near 48. South wind around 6 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Delain,3/11/2025,El Corazon,Music,Downtown,"A chance of rain showers before 11am, then rain. Mostly cloudy, with a high near 49. South wind around 7 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
HWASA,3/11/2025,The Moore Theatre,Music,Downtown,"A chance of rain showers before 11am, then rain. Cloudy, with a high near 49. South wind around 6 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Amanda Nguyen,3/12/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Rain showers. Cloudy, with a high near 50. Chance of precipitation is 90%."
Hot Rod,3/12/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain showers. Cloudy, with a high near 50. Chance of precipitation is 90%."
Hurricane Dreamz,3/12/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain showers. Cloudy, with a high near 51. Chance of precipitation is 90%."
Anoushka Shankar,3/13/2025,The Moore Theatre,Music,Downtown,"Rain showers. Mostly cloudy, with a high near 48."
Hippies With Money,3/14/2025,Funhouse,Music,Capitol Hill / Central District,"Rain. Mostly cloudy, with a high near 47."
Buzz Brump,3/15/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain. Cloudy, with a high near 50."
Colin Meloy,3/15/2025,Town Hall Seattle,Music,Downtown,"Rain. Cloudy, with a high near 50."
Exes and O’s live with Shannon Beveridge,3/15/2025,Neumos,Theatre,Capitol Hill / Central District,"Rain. Cloudy, with a high near 50."
GRIPIN,3/15/2025,High Dive,Music,Fremont / Ballard,"Rain. Cloudy, with a high near 50."
Hieroglyphics,3/15/2025,The Crocodile,Music,Downtown,"Rain. Cloudy, with a high near 50."
Mozart Requiem,3/15/2025,Saint Mark's Episcopal Cathedral,Music,Capitol Hill / Central District,"Rain. Cloudy, with a high near 51."
Tembembe Ensamble Continuo: Un Fandango Barocco,3/15/2025,Benaroya Hall,Music,Downtown,"Rain. Cloudy, with a high near 50."
