Name,Date,Location,Type,Region,Weather
Maria Jose Llergo,3/6/2024,The Triple Door,Music,Downtown,"Partly cloudy, with a low around 30. East wind around 2 mph."
Mariah The Scientist,3/6/2024,The Neptune Theatre,Music,University District,"Partly cloudy, with a low around 32. East southeast wind around 2 mph."
Shawn Phillips,3/6/2024,The Triple Door,Music,Downtown,"Mostly cloudy, with a low around 30. East wind around 2 mph."
Tessa Hulls: Exploring Generational Echoes,3/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Partly cloudy, with a low around 31. East wind around 2 mph."
Atlus,3/7/2024,Nectar Lounge,Music,Fremont / Ballard,"Mostly sunny, with a high near 47. South wind around 3 mph."
Candlelight Concert: The Best of Joe Hisaishi,3/7/2024,Town Hall Seattle,Music,Downtown,"Mostly sunny, with a high near 47. South southwest wind around 3 mph."
Critical Mass Big Band,3/7/2024,The Royal Room,Music,South Seattle,"Mostly sunny, with a high near 47. South southeast wind around 3 mph."
Hermanos de Leche,3/7/2024,The Neptune Theatre,Theatre,University District,"Mostly sunny, with a high near 47. South wind around 3 mph."
Rick Estrin and The Nightcats,3/7/2024,The Triple Door,Music,Downtown,"Mostly sunny, with a high near 47. South wind around 3 mph."
Theresa Caputo Live,3/7/2024,The Moore Theatre,Theatre,Downtown,"Mostly sunny, with a high near 47. South wind around 3 mph."
4inecs,3/8/2024,Funhouse,Music,Capitol Hill / Central District,"A slight chance of rain. Mostly cloudy, with a high near 51. Chance of precipitation is 20%."
Calidore Quartet & Abeo Quartet,3/8/2024,415 Westlake,Music,Queen Anne / Seattle Center,"A slight chance of rain. Mostly cloudy, with a high near 51. Chance of precipitation is 20%."
Debut,3/8/2024,Barboza,Music,Capitol Hill / Central District,"A slight chance of rain. Mostly cloudy, with a high near 51. Chance of precipitation is 20%."
Holding / Movement,3/8/2024,Benaroya Hall,Music,Downtown,"A slight chance of rain after 10am. Mostly cloudy, with a high near 52. Chance of precipitation is 20%."
International Women’s Day Live Sessions Concert,3/8/2024,The Royal Room,Music,South Seattle,"A slight chance of rain. Mostly cloudy, with a high near 52. Chance of precipitation is 20%."
Josh Wolf,3/8/2024,The Neptune Theatre,Theatre,University District,"A slight chance of rain. Mostly cloudy, with a high near 51. Chance of precipitation is 20%."
Karla Bonoff,3/8/2024,The Triple Door,Music,Downtown,"A slight chance of rain. Mostly cloudy, with a high near 51. Chance of precipitation is 20%."
Palestinian Lana Ikelan and Israeli Noga Bar Oz,3/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A slight chance of rain. Mostly cloudy, with a high near 51. Chance of precipitation is 20%."
Seattle Kraken vs. Winnipeg Jets,3/8/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"A slight chance of rain. Mostly cloudy, with a high near 51. Chance of precipitation is 20%."
The Wood Brothers,3/8/2024,The Moore Theatre,Music,Downtown,"A slight chance of rain. Mostly cloudy, with a high near 51. Chance of precipitation is 20%."
Ariel Pink,3/9/2024,El Corazon,Music,Downtown,"Rain. Mostly cloudy, with a high near 49."
Biblioteka,3/9/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain. Mostly cloudy, with a high near 50."
Carnaval with EntreMundos Big Band,3/9/2024,The Royal Room,Music,South Seattle,"Rain. Mostly cloudy, with a high near 49."
Coco Montoya,3/9/2024,The Triple Door,Music,Downtown,"Rain. Mostly cloudy, with a high near 48."
Emily Calandrelli: Unleash Your Inner Scientist,3/9/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Rain. Mostly cloudy, with a high near 50."
Helene Grimaud,3/9/2024,Meany Center for the Performing Arts,Music,University District,"Rain. Mostly cloudy, with a high near 48."
Josiah and the Bonnevilles,3/9/2024,Barboza,Music,Capitol Hill / Central District,"Rain. Mostly cloudy, with a high near 48."
Mahan Esfahan,3/9/2024,Town Hall Seattle,Music,Downtown,"Rain. Mostly cloudy, with a high near 50."
The Paper Kites,3/9/2024,The Neptune Theatre,Music,University District,"Rain. Mostly cloudy, with a high near 50."
Deseo Carmin,3/10/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain. Cloudy, with a high near 49."
Our Place in this World: Winter 2024 Concert,3/10/2024,Town Hall Seattle,Music,Downtown,"Rain. Cloudy, with a high near 50."
Rhapsody in Shmaltz,3/10/2024,The Royal Room,Music,South Seattle,"Rain. Cloudy, with a high near 49."
Short Stories Live: Through Someone Else’s Eyes,3/10/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Rain. Cloudy, with a high near 49."
Angie McMahon,3/11/2024,The Crocodile,Music,Downtown,"Rain. Mostly cloudy, with a high near 50."
Crosses,3/11/2024,The Moore Theatre,Music,Downtown,"Rain. Mostly cloudy, with a high near 50."
Dancing With The Stars,3/11/2024,The Paramount Theatre,Dance,Downtown,"Rain. Mostly cloudy, with a high near 51."
Earshot Golden Ear Awards Party: Jun Iida,3/11/2024,The Royal Room,Music,South Seattle,"Rain. Mostly cloudy, with a high near 50."
Sasha LaPointe,3/11/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Rain. Mostly cloudy, with a high near 50."
Seattle Kraken vs. Vegas Golden Knights,3/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain. Cloudy, with a high near 50."
Special EFX All Stars,3/12/2024,The Triple Door,Music,Downtown,"Rain. Cloudy, with a high near 51."
TommyInnit,3/12/2024,The Neptune Theatre,Music,University District,"Rain. Cloudy, with a high near 50."
