Name,Date,Location,Type,Region,Weather
Ariel Posen,11/2/2025,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain showers. Mostly cloudy, with a low around 45. South wind around 6 mph. Chance of precipitation is 30%."
Claudio Simonetti’s Goblin,11/2/2025,El Corazon,Music,Downtown,"A chance of rain showers after 4am. Mostly cloudy. Low around 46, with temperatures rising to around 48 overnight. South wind around 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Dijon,11/2/2025,The Paramount Theatre,Music,Downtown,"A chance of rain showers after 4am. Mostly cloudy, with a low around 45. South wind around 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Haute & Freddy,11/2/2025,Barboza,Music,Capitol Hill / Central District,"A chance of rain showers after 4am. Mostly cloudy. Low around 46, with temperatures rising to around 48 overnight. South wind around 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Shintaro Sakamoto,11/2/2025,The Showbox,Music,Downtown,"A chance of rain showers. Mostly cloudy, with a low around 45. South wind around 6 mph. Chance of precipitation is 30%."
The Dream Syndicate,11/2/2025,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain showers after 4am. Mostly cloudy, with a low around 45. South wind around 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
After,11/3/2025,Barboza,Music,Capitol Hill / Central District,"A chance of rain. Mostly cloudy, with a high near 53. North northeast wind around 6 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Arc Flash,11/3/2025,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain. Mostly cloudy, with a high near 52. North northeast wind 2 to 6 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Bands Don’t Cry,11/3/2025,Hidden Hall,Music,Fremont,"A chance of rain. Mostly cloudy, with a high near 52. North wind around 6 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Lael Neale,11/3/2025,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain. Mostly cloudy, with a high near 53. North northeast wind around 5 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Lukas Nelson – The American Romance Tour,11/3/2025,The Moore Theatre,Music,Downtown,"A chance of rain. Mostly cloudy, with a high near 53. North northeast wind 2 to 6 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Chicago Blackhawks,11/3/2025,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"A chance of rain. Mostly cloudy, with a high near 53. North northeast wind 2 to 6 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Victoria Rachel Runya Katz and Ava Wilder,11/3/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A chance of rain. Mostly cloudy, with a high near 54. North northeast wind around 5 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Yukiko Matsuyama and Koto Jazz,11/3/2025,The Royal Room,Music,South Seattle,"A chance of rain. Mostly cloudy, with a high near 53. North northeast wind around 5 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
A Conversation with Kamala Harris,11/4/2025,Benaroya Hall,Readings & Lectures,Downtown,"Rain likely. Mostly cloudy, with a high near 55. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
Dallas Burrow,11/4/2025,Funhouse,Music,Capitol Hill / Central District,"Rain likely. Mostly cloudy, with a high near 56. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
Ed Yong,11/4/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Rain likely. Mostly cloudy, with a high near 57. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
