Name,Date,Location,Type,Region,Weather
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,"Mostly cloudy, with a low around 40. South wind around 3 mph."
Banned & Beloved,2/3/2024,Town Hall Seattle,Music,Downtown,"Mostly cloudy, with a low around 40. South wind around 3 mph."
Cold War Kids – 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown,"Mostly cloudy. Low around 41, with temperatures rising to around 43 overnight. South wind around 5 mph."
Mau P,2/3/2024,The Showbox,Music,Downtown,"Mostly cloudy, with a low around 40. South wind around 3 mph."
Oble,2/3/2024,Barboza,Music,Capitol Hill / Central District,"Mostly cloudy, with a low around 40. South wind around 3 mph."
Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown,"Mostly cloudy. Low around 39, with temperatures rising to around 41 overnight. South wind around 3 mph."
The Delta Bombers,2/3/2024,El Corazon,Music,Downtown,"Mostly cloudy, with a low around 40. South wind around 5 mph."
The Grave Plot Film Fest part 6,2/3/2024,Ark Lodge Cinemas,Film & Media Arts,South Seattle,"Mostly cloudy. Low around 41, with temperatures rising to around 43 overnight. South wind around 5 mph."
Daniel Tiger’s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown,"Partly sunny, with a high near 48. North wind 8 to 15 mph."
Family Art Day: La Vaughn Belle,2/4/2024,National Nordic Museum,Museums,Fremont / Ballard,"Partly sunny, with a high near 48. North northeast wind 6 to 10 mph."
Fracture,2/4/2024,Town Hall Seattle,Music,Downtown,"Partly sunny, with a high near 49. North northeast wind 6 to 13 mph."
Lil Skies,2/4/2024,The Showbox,Music,Downtown,"Partly sunny, with a high near 48. North northeast wind 6 to 10 mph."
Secular and Sacred,2/4/2024,Town Hall Seattle,Music,Downtown,"Partly sunny, with a high near 48. North northeast wind 6 to 10 mph."
Criminal,2/5/2024,The Moore Theatre,Theatre,Downtown,"A slight chance of rain between 10am and 4pm. Mostly cloudy, with a high near 48. Chance of precipitation is 20%."
Neck Deep,2/5/2024,Showbox SoDo,Music,Pioneer Square,"A slight chance of rain between 10am and 4pm. Mostly cloudy, with a high near 47. Chance of precipitation is 20%."
Joey Valence and Brae,2/6/2024,Barboza,Music,Capitol Hill / Central District,"Partly sunny, with a high near 48."
Kazu Kibuishi with Donna Barba Higuera,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Partly sunny, with a high near 49."
Kristin Hannah,2/6/2024,Benaroya Hall,Readings & Lectures,Downtown,"Partly sunny, with a high near 48."
Michael J. Gerhardt,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Partly sunny, with a high near 49."
Night Lovell,2/6/2024,The Showbox,Music,Downtown,"Mostly cloudy, with a high near 49."
Soja,2/6/2024,The Neptune Theatre,Music,University District,"Partly sunny, with a high near 49."
Dimiter,2/7/2024,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain. Mostly cloudy, with a high near 47."
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain. Mostly cloudy, with a high near 47."
The Kills,2/7/2024,Showbox SoDo,Music,Pioneer Square,"A chance of rain. Mostly cloudy, with a high near 47."
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain. Partly sunny, with a high near 46."
Art and Transformation,2/8/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,"A chance of rain. Partly sunny, with a high near 46."
Edapollo,2/8/2024,Barboza,Music,Capitol Hill / Central District,"A chance of rain. Partly sunny, with a high near 46."
Eric Bellinger,2/8/2024,The Showbox,Music,Downtown,"A chance of rain. Partly sunny, with a high near 47."
Futurebirds and Nude Party,2/8/2024,The Neptune Theatre,Music,University District,"A chance of rain. Partly sunny, with a high near 46."
Ilana Glazer Live,2/8/2024,The Moore Theatre,Theatre,Downtown,"A chance of rain. Partly sunny, with a high near 46."
Mister Blank,2/8/2024,Nectar Lounge,Music,Fremont / Ballard,"A chance of rain. Partly sunny, with a high near 46."
Replay Matinee: Michael Pollan,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain. Partly sunny, with a high near 46."
Barry Can’t Swim,2/9/2024,Neumos,Music,Capitol Hill / Central District,"A chance of rain. Partly sunny, with a high near 46."
Dark Star Orchestra,2/9/2024,The Showbox,Music,Downtown,"A chance of rain and snow. Partly sunny, with a high near 46."
Gov’t Mule,2/9/2024,The Moore Theatre,Music,Downtown,"A chance of rain and snow. Partly sunny, with a high near 46."
Ijeoma Oluo: Be A Revolution,2/9/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain. Partly sunny, with a high near 47."
Mayer Hawthorne,2/9/2024,The Neptune Theatre,Music,University District,"A chance of rain. Partly sunny, with a high near 46."
Moontricks,2/9/2024,The Crocodile,Music,Downtown,"A chance of rain. Partly sunny, with a high near 46."
OBOE / OBOE,2/9/2024,415 Westlake,Music,Queen Anne / Seattle Center,"A chance of rain. Partly sunny, with a high near 46."
Roots and Wings,2/9/2024,Rendezvous JewelBox Theater,Theatre,Downtown,"A chance of rain. Partly sunny, with a high near 46."
