Name,Date,Location,Type,Region,Weather
Cole Nussbaumer Knaflic,9/8/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Haze. Sunny, with a high near 78. South southwest wind around 7 mph."
Festal: Live Aloha Hawaiian Cultural Festival,9/8/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,"Haze. Mostly sunny. High near 79, with temperatures falling to around 77 in the afternoon. South southwest wind around 7 mph."
Klezmer Starts Here: The Music of Dave Tarras,9/8/2024,The Royal Room,Music,South Seattle,"Haze. Sunny, with a high near 77. South southwest wind 3 to 7 mph."
Lalah Hathaway,9/8/2024,Showbox SoDo,Music,Pioneer Square,"Haze. Sunny, with a high near 78. South southwest wind around 7 mph."
Marty O’Reilly,9/8/2024,Tractor Tavern,Music,Fremont / Ballard,"Haze. Sunny. High near 80, with temperatures falling to around 78 in the afternoon. South southwest wind around 6 mph."
Night Tempo,9/8/2024,The Neptune Theatre,Music,University District,"Haze. Mostly sunny. High near 76, with temperatures falling to around 74 in the afternoon. South southwest wind around 7 mph."
Out of Stock,9/8/2024,High Dive,Music,Fremont / Ballard,"Haze. Sunny. High near 79, with temperatures falling to around 77 in the afternoon. South southwest wind around 7 mph."
Seattle Seahawks vs. Denver Broncos,9/8/2024,Lumen Field,Sports,Pioneer Square,"Haze. Sunny, with a high near 76. South southwest wind around 7 mph."
The Get Up Kids,9/8/2024,The Showbox,Music,Downtown,"Haze. Sunny. High near 79, with temperatures falling to around 77 in the afternoon. South southwest wind 3 to 7 mph."
young friend,9/8/2024,Barboza,Music,Capitol Hill / Central District,"Haze. Mostly sunny. High near 76, with temperatures falling to around 74 in the afternoon. South southwest wind around 7 mph."
Cypress Spring and Austin Tolliver,9/9/2024,High Dive,Music,Fremont / Ballard,"Mostly cloudy, with a high near 70. Southwest wind around 5 mph."
Jazmin Bean,9/9/2024,The Showbox,Music,Downtown,"Mostly cloudy, with a high near 72. Southwest wind around 5 mph."
Joyce Maynard,9/9/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Mostly cloudy, with a high near 72. Southwest wind around 5 mph."
Wabie,9/9/2024,Barboza,Music,Capitol Hill / Central District,"Mostly cloudy, with a high near 71. Southwest wind around 5 mph."
Barstool Sports: PlanBri,9/10/2024,Showbox SoDo,Theatre,Pioneer Square,"A slight chance of rain showers after 5pm. Partly sunny, with a high near 68. Southwest wind around 6 mph. Chance of precipitation is 20%."
Buffalo Galaxy,9/10/2024,High Dive,Music,Fremont / Ballard,"A slight chance of rain showers after 5pm. Partly sunny, with a high near 71. Southwest wind around 6 mph. Chance of precipitation is 20%."
charlieonnafriday,9/10/2024,The Crocodile,Music,Downtown,"A slight chance of rain showers after 5pm. Partly sunny, with a high near 70. Southwest wind around 6 mph. Chance of precipitation is 20%."
Coco Mellors with Laurie Frankel,9/10/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A slight chance of rain showers after 5pm. Partly sunny, with a high near 69. Southwest wind 2 to 6 mph. Chance of precipitation is 20%."
John Early,9/10/2024,The Showbox,Theatre,Downtown,"A slight chance of rain showers after 5pm. Partly sunny, with a high near 70. Southwest wind around 6 mph. Chance of precipitation is 20%."
Sexual Purity,9/10/2024,Funhouse,Music,Capitol Hill / Central District,"A slight chance of rain showers after 5pm. Partly sunny, with a high near 70. Southwest wind around 6 mph. Chance of precipitation is 20%."
SPEED,9/10/2024,Neumos,Music,Capitol Hill / Central District,"A slight chance of rain showers after 5pm. Partly sunny, with a high near 70. Southwest wind 2 to 6 mph. Chance of precipitation is 20%."
