Name,Date,Location,Type,Region,Weather
2 Shadows,9/23/2024,Funhouse,Music,Capitol Hill / Central District,"Partly sunny, with a high near 71. South southwest wind around 6 mph."
Butcher Babies,9/23/2024,El Corazon,Music,Downtown,"Partly sunny, with a high near 72. South southwest wind around 6 mph."
Fantastic Cat,9/23/2024,Tractor Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 71. Southwest wind around 6 mph."
Green Day,9/23/2024,T-Mobile Park,Music,Pioneer Square,"Partly sunny, with a high near 73. South southwest wind around 6 mph."
Hoodoo Gurus,9/23/2024,The Neptune Theatre,Music,University District,"Partly sunny, with a high near 70. South southwest wind around 6 mph."
Joywave,9/23/2024,The Showbox,Music,Downtown,"Partly sunny, with a high near 72. South southwest wind around 6 mph."
Juvenile,9/23/2024,The Crocodile,Music,Downtown,"Partly sunny, with a high near 72. Southwest wind around 6 mph."
Sahaj Kohli with Ruchika Tulshyan,9/23/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Partly sunny, with a high near 71. Southwest wind around 6 mph."
Billy Woods and Kenny Segal,9/24/2024,Neumos,Music,Capitol Hill / Central District,"Mostly sunny. High near 75, with temperatures falling to around 73 in the afternoon. North wind around 7 mph."
Charly Bliss,9/24/2024,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 76. North wind around 7 mph."
Connie Chung,9/24/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Mostly sunny. High near 74, with temperatures falling to around 72 in the afternoon. North wind around 7 mph."
Curtis Stigers,9/24/2024,The Triple Door,Music,Downtown,"Mostly sunny, with a high near 74. North wind around 7 mph."
Deicide,9/24/2024,El Corazon,Music,Downtown,"Mostly sunny, with a high near 76. North wind around 7 mph."
Lynne Peeples,9/24/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Mostly sunny, with a high near 76. North wind around 7 mph."
SEB,9/24/2024,Barboza,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 77. North wind around 7 mph."
Sky Ferreira,9/24/2024,The Neptune Theatre,Music,University District,"Mostly sunny. High near 72, with temperatures falling to around 70 in the afternoon. North wind around 8 mph."
Angry Blackmen,9/25/2024,Sunset Tavern,Music,Fremont / Ballard,"Rain before 5pm, then rain showers. Mostly cloudy, with a high near 64. South wind 6 to 12 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Aoife O’Donovan and Hawktail: All of My Friends Tour,9/25/2024,Tractor Tavern,Music,Fremont / Ballard,"Rain before 5pm, then rain showers. Mostly cloudy, with a high near 65. South southwest wind 7 to 12 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Bob Bauer with David Burman,9/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Rain before 5pm, then rain showers. Mostly cloudy, with a high near 65. South southwest wind 7 to 12 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Brendan Kelly,9/25/2024,Funhouse,Music,Capitol Hill / Central District,"Rain before 5pm, then rain showers. Mostly cloudy, with a high near 63. South southwest wind 7 to 13 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Connected  – Richie Goods and Chien Chien Lu,9/25/2024,The Triple Door,Music,Downtown,"Rain before 5pm, then rain showers. Mostly cloudy, with a high near 65. South southwest wind 7 to 12 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Daniel,9/25/2024,Neumos,Music,Capitol Hill / Central District,"Rain before 5pm, then rain showers. Mostly cloudy, with a high near 65. South southwest wind 7 to 12 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
